Date,Open,High,Low,Close,Adj Close
2016-01-04,200.49000549316406,201.02999877929688,198.58999633789062,201.02000427246094,169.4715576171875
2016-01-05,201.39999389648438,201.89999389648438,200.0500030517578,201.36000061035156,169.75819396972656
2016-01-06,198.33999633789062,200.05999755859375,197.60000610351562,198.82000732421875,167.6168670654297
2016-01-07,195.3300018310547,197.44000244140625,193.58999633789062,194.0500030517578,163.59539794921875
2016-01-08,195.19000244140625,195.85000610351562,191.5800018310547,191.9199981689453,161.7997283935547
2016-01-11,193.00999450683594,193.41000366210938,189.82000732421875,192.11000061035156,161.95989990234375
2016-01-12,193.82000732421875,194.5500030517578,191.13999938964844,193.66000366210938,163.26663208007812
2016-01-13,194.4499969482422,194.86000061035156,188.3800048828125,188.8300018310547,159.1946563720703
2016-01-14,189.5500030517578,193.25999450683594,187.66000366210938,191.92999267578125,161.8081817626953
2016-01-15,186.77000427246094,188.75999450683594,185.52000427246094,187.80999755859375,158.33477783203125
2016-01-19,189.9600067138672,190.11000061035156,186.1999969482422,188.05999755859375,158.5454864501953
2016-01-20,185.02999877929688,187.5,181.02000427246094,185.64999389648438,156.51373291015625
2016-01-21,186.2100067138672,188.8699951171875,184.63999938964844,186.69000244140625,157.39056396484375
2016-01-22,189.77999877929688,190.75999450683594,188.8800048828125,190.52000427246094,160.61941528320312
2016-01-25,189.9199981689453,190.14999389648438,187.41000366210938,187.63999938964844,158.19142150878906
2016-01-26,188.4199981689453,190.52999877929688,188.02000427246094,190.1999969482422,160.3496856689453
2016-01-27,189.5800018310547,191.55999755859375,187.05999755859375,188.1300048828125,158.60452270507812
2016-01-28,189.9600067138672,190.1999969482422,187.16000366210938,189.11000061035156,159.43075561523438
2016-01-29,190.02000427246094,193.8800048828125,189.8800048828125,193.72000122070312,163.3172149658203
2016-02-01,192.52999877929688,194.5800018310547,191.83999633789062,193.64999389648438,163.25823974609375
2016-02-02,191.9600067138672,191.97000122070312,189.5399932861328,190.16000366210938,160.31593322753906
2016-02-03,191.41000366210938,191.77999877929688,187.10000610351562,191.3000030517578,161.2770538330078
2016-02-04,190.7100067138672,192.75,189.9600067138672,191.60000610351562,161.52993774414062
2016-02-05,190.99000549316406,191.6699981689453,187.1999969482422,187.9499969482422,158.45281982421875
2016-02-08,185.77000427246094,186.1199951171875,182.8000030517578,185.4199981689453,156.31983947753906
2016-02-09,183.36000061035156,186.94000244140625,183.1999969482422,185.42999267578125,156.3282470703125
2016-02-10,186.41000366210938,188.33999633789062,185.1199951171875,185.27000427246094,156.19338989257812
2016-02-11,182.33999633789062,184.10000610351562,181.08999633789062,182.86000061035156,154.16162109375
2016-02-12,184.9600067138672,186.64999389648438,183.9600067138672,186.6300048828125,157.3399200439453
2016-02-16,188.77000427246094,189.80999755859375,187.6300048828125,189.77999877929688,159.99554443359375
2016-02-17,191.16000366210938,193.32000732421875,191.00999450683594,192.8800048828125,162.60906982421875
2016-02-18,193.1999969482422,193.27000427246094,191.72000122070312,192.08999633789062,161.9430389404297
2016-02-19,191.1699981689453,192.17999267578125,190.4499969482422,192.0,161.8671417236328
